Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency
JOGI VEERANJANEYULU,Independent,1020.0,2,1022.0,0.08,Andhra Pradesh,Machilipatnam
DAMODARA RAO GUDAVALLI,Independent,928.0,2,930.0,0.07,Andhra Pradesh,Machilipatnam
APPARAO ENNETI,Independent,625.0,1,626.0,0.05,Andhra Pradesh,Machilipatnam
NOTA,None of the Above,12008.0,118,12126.0,0.92,Andhra Pradesh,Machilipatnam
DR BYREDDY SHABARI,Telugu Desam,689417.0,11714,701131.0,49.92,Andhra Pradesh,Nandyal
POCHA BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,583155.0,6001,589156.0,41.95,Andhra Pradesh,Nandyal
J LAKSHMI NARASIMHA YADAV,Indian National Congress,54920.0,1284,56204.0,4.0,Andhra Pradesh,Nandyal
P GURUVAIAH,Independent,8190.0,1,8191.0,0.58,Andhra Pradesh,Nandyal
A CHINNA MOULALI,Bahujan Samaj Party,7768.0,63,7831.0,0.56,Andhra Pradesh,Nandyal
HAFIZ ATAULLAH KHAN,Social Democratic Party Of India,6858.0,74,6932.0,0.49,Andhra Pradesh,Nandyal
KOMMUSANI PEDDA KAMBAGIRI SWAMY,Independent,4633.0,,4633.0,0.33,Andhra Pradesh,Nandyal
GAGGERA VENKATA RAMANAIAH,Independent,3027.0,4,3031.0,0.22,Andhra Pradesh,Nandyal
DUMAVATH SWAMY NAIK,Independent,2348.0,10,2358.0,0.17,Andhra Pradesh,Nandyal
KUNUKUNTLA RAMUDU,Independent,1408.0,5,1413.0,0.1,Andhra Pradesh,Nandyal
E ANIL KUMAR,Independent,1332.0,2,1334.0,0.09,Andhra Pradesh,Nandyal
C SURENDRA NATHA REDDY,Independent,1267.0,1,1268.0,0.09,Andhra Pradesh,Nandyal
BRAHMANANDA REDDY K,Independent,1261.0,11,1272.0,0.09,Andhra Pradesh,Nandyal
UPPU SUBBARAYUDU,Jaathia Chethi Vruthula Ikya Vedika Party,785.0,6,791.0,0.06,Andhra Pradesh,Nandyal
NAGESWARA RAO,Independent,678.0,2,680.0,0.05,Andhra Pradesh,Nandyal
VIJAYA BHASKAR REDDYPOGU,Independent,641.0,,641.0,0.05,Andhra Pradesh,Nandyal
YELAMPALLE GOVARDHAN REDDY,All India Forward Bloc,638.0,4,642.0,0.05,Andhra Pradesh,Nandyal
BHUMA VEERA BHADRA REDDY,Navarang Congress Party,630.0,16,646.0,0.05,Andhra Pradesh,Nandyal
PANDU RANGA YADAV SIDDAPU,Samajwadi Party,594.0,11,605.0,0.04,Andhra Pradesh,Nandyal
CHANDINI REDDY VAKATI,Liberation Congress Party,546.0,10,556.0,0.04,Andhra Pradesh,Nandyal
B C RAMANADHA AREDDY,Independent,472.0,,472.0,0.03,Andhra Pradesh,Nandyal
GAJULA SHALIMIYA,Anna YSR Congress Party,468.0,18,486.0,0.03,Andhra Pradesh,Nandyal
KULURU RAMA KRISHNA REDDY,Neethi Nijayithi Party,428.0,2,430.0,0.03,Andhra Pradesh,Nandyal
CH P MALLESWARUDU,Independent,417.0,4,421.0,0.03,Andhra Pradesh,Nandyal
I V PAKKIR REDDY,Independent,408.0,2,410.0,0.03,Andhra Pradesh,Nandyal
V MADHUSUDHANA REDDY,Independent,399.0,2,401.0,0.03,Andhra Pradesh,Nandyal
BUSHAKU MAHESWARA REDDY,Independent,390.0,,390.0,0.03,Andhra Pradesh,Nandyal
U P MUNI REDDY,Independent,376.0,,376.0,0.03,Andhra Pradesh,Nandyal
GOGULA SUGUNAMMA,Jai Maha Bharath Party,375.0,4,379.0,0.03,Andhra Pradesh,Nandyal
BELLAMKONDA SREENIVASULU,Independent,352.0,1,353.0,0.03,Andhra Pradesh,Nandyal
BALIJA SHIVA KUMAR,Independent,288.0,,288.0,0.02,Andhra Pradesh,Nandyal
NOTA,None of the Above,10538.0,159,10697.0,0.76,Andhra Pradesh,Nandyal
BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party,699382.0,7961,707343.0,57.46,Andhra Pradesh,Narsapuram
UMABALA GUDURI,Yuvajana Sramika Rythu Congress Party,426037.0,4504,430541.0,34.98,Andhra Pradesh,Narsapuram
K.B.R.NAIDU,Indian National Congress,34298.0,915,35213.0,2.86,Andhra Pradesh,Narsapuram
PRASANNA KUMAR UNDURTHI,Independent,6350.0,14,6364.0,0.52,Andhra Pradesh,Narsapuram
MEDAPATI VENKATA VARAHALA REDDY,Independent,5966.0,3,5969.0,0.48,Andhra Pradesh,Narsapuram
SIRRA RAJU,Bahujan Samaj Party,5945.0,69,6014.0,0.49,Andhra Pradesh,Narsapuram
BALAGAM NAYAKAR,Independent,5232.0,8,5240.0,0.43,Andhra Pradesh,Narsapuram
NALLI RAJESH,Independent,4684.0,,4684.0,0.38,Andhra Pradesh,Narsapuram
KETHA SREENU,Independent,3140.0,5,3145.0,0.26,Andhra Pradesh,Narsapuram
OLETY NAGENDRA KRISHNA,Jaibhim Rao Bharat Party,3112.0,4,3116.0,0.25,Andhra Pradesh,Narsapuram
ADDEPALLI VEERA VENKAT SUBBA RAO,Independent,2781.0,2,2783.0,0.23,Andhra Pradesh,Narsapuram
ANAND CHANDULAL JASTI,Independent,2726.0,,2726.0,0.22,Andhra Pradesh,Narsapuram
GANJI PURNIMA,Republican Party of India (A),1645.0,4,1649.0,0.13,Andhra Pradesh,Narsapuram
GEDALA LAXMANA RAO,Independent,1525.0,2,1527.0,0.12,Andhra Pradesh,Narsapuram
ADDANKI DORABABU,Independent,1388.0,5,1393.0,0.11,Andhra Pradesh,Narsapuram
GOTTUMUKKALA SHIVAJI,Independent,1378.0,6,1384.0,0.11,Andhra Pradesh,Narsapuram
ADINARAYANA DUPPANAPUDI,Independent,1002.0,5,1007.0,0.08,Andhra Pradesh,Narsapuram
MANNE LEELA RAMA NARENDRA,Pyramid Party of India,922.0,8,930.0,0.08,Andhra Pradesh,Narsapuram
RAMA DURGA PRASAD THOLETI,Independent,919.0,1,920.0,0.07,Andhra Pradesh,Narsapuram
RUKHMINI,Independent,683.0,3,686.0,0.06,Andhra Pradesh,Narsapuram
ADABALA SIVA,Independent,682.0,1,683.0,0.06,Andhra Pradesh,Narsapuram
NOTA,None of the Above,7554.0,123,7677.0,0.62,Andhra Pradesh,Narsapuram
LAVU SRIKRISHNA DEVARAYALU,Telugu Desam,798097.0,9899,807996.0,53.88,Andhra Pradesh,Narsaraopet
ANIL KUMAR POLUBOINA,Yuvajana Sramika Rythu Congress Party,642186.0,6081,648267.0,43.23,Andhra Pradesh,Narsaraopet
GARNEPUDI ALEXANDER SUDHAKAR,Indian National Congress,17520.0,526,18046.0,1.2,Andhra Pradesh,Narsaraopet
ORSU PREMARAJU,Bahujan Samaj Party,5276.0,33,5309.0,0.35,Andhra Pradesh,Narsaraopet
KUCHIPUDI JOHN BABU,Jaibhim Rao Bharat Party,2328.0,8,2336.0,0.16,Andhra Pradesh,Narsaraopet
GARLAPATI SUBHASH PREM,Revolutionary Socialist Party,1243.0,2,1245.0,0.08,Andhra Pradesh,Narsaraopet
YAMPATI VEERANJANEYA REDDY,Independent,1056.0,1,1057.0,0.07,Andhra Pradesh,Narsaraopet
SUBBARAO CHALLA,Independent,1051.0,,1051.0,0.07,Andhra Pradesh,Narsaraopet
ABDUL RAJAK SHAIK,Independent,718.0,5,723.0,0.05,Andhra Pradesh,Narsaraopet
KOTA POTHURAJU,Pyramid Party of India,667.0,3,670.0,0.04,Andhra Pradesh,Narsaraopet
P VENKATESH,Jaathia Chethi Vruthula Ikya Vedika Party,385.0,3,388.0,0.03,Andhra Pradesh,Narsaraopet
PASUPULETI PICHAIAH,National Nava Kranthi Party,353.0,3,356.0,0.02,Andhra Pradesh,Narsaraopet
PAPPULA SAMBASIVA RAO,Navarang Congress Party,331.0,1,332.0,0.02,Andhra Pradesh,Narsaraopet
DOCTOR GODA RAMESH KUMAR,Jatiya Jana Sena Party,305.0,4,309.0,0.02,Andhra Pradesh,Narsaraopet
THOKALA NAGA RAJU,All India Forward Bloc,277.0,8,285.0,0.02,Andhra Pradesh,Narsaraopet
NOTA,None of the Above,11120.0,79,11199.0,0.75,Andhra Pradesh,Narsaraopet
PRABHAKAR REDDY VEMIREDDY,Telugu Desam,750771.0,15431,766202.0,55.7,Andhra Pradesh,Nellore
VENUMBAKA VIJAYASAI REDDY,Yuvajana Sramika Rythu Congress Party,514375.0,5925,520300.0,37.82,Andhra Pradesh,Nellore
KOPPULA RAJU,Indian National Congress,53264.0,1580,54844.0,3.99,Andhra Pradesh,Nellore
BHASKAR NASINA,Bahujan Samaj Party,5710.0,101,5811.0,0.42,Andhra Pradesh,Nellore
VIVEKA MANNEPALLI,Revolutionary Socialist Party,2794.0,10,2804.0,0.2,Andhra Pradesh,Nellore
KOPPALA RAGHU,Independent,2010.0,5,2015.0,0.15,Andhra Pradesh,Nellore
GAJULA SOMA SEKHAR,Jai Bharat National Party,1775.0,4,1779.0,0.13,Andhra Pradesh,Nellore
SHAIK MUZIBUR RAHAMAN,Pyramid Party of India,1315.0,15,1330.0,0.1,Andhra Pradesh,Nellore
SHAIK MAHABOOB BASHA (MABU),Republican Party of India (A),1228.0,5,1233.0,0.09,Andhra Pradesh,Nellore
MALLEPALLY RAGHU,Navarang Congress Party,1104.0,1,1105.0,0.08,Andhra Pradesh,Nellore
SHAIK SHAFI AHMED,All India Forward Bloc,1037.0,,1037.0,0.08,Andhra Pradesh,Nellore
NAKKA DINESH,Bharatha Chaitanya Yuvajana Party,576.0,24,600.0,0.04,Andhra Pradesh,Nellore
TALARI VENKATAIAH,Jaibhim Rao Bharat Party,553.0,5,558.0,0.04,Andhra Pradesh,Nellore
PUNGANURU PRASANNA GANAPATHI,Radical Party of India (Ambedkarist),452.0,2,454.0,0.03,Andhra Pradesh,Nellore
NOTA,None of the Above,15454.0,123,15577.0,1.13,Andhra Pradesh,Nellore
MAGUNTA SREENIVASULU REDDY,Telugu Desam,689829.0,12065,701894.0,49.35,Andhra Pradesh,Ongole
DR CHEVIREDDY BHASKAR REDD,Yuvajana Sramika Rythu Congress Party,644052.0,7643,651695.0,45.82,Andhra Pradesh,Ongole
EDA SUDHAKARA REDDY,Indian National Congress,25803.0,919,26722.0,1.88,Andhra Pradesh,Ongole
DHARANIKOTA LAKSHMI NARAYANA,Bahujan Samaj Party,6238.0,76,6314.0,0.44,Andhra Pradesh,Ongole
BUCHI EDUKONDALU,Independent,3046.0,2,3048.0,0.21,Andhra Pradesh,Ongole
PODILI RAMBABU,Independent,3035.0,38,3073.0,0.22,Andhra Pradesh,Ongole
ORSU VEENA,Jai Bharat National Party,2242.0,25,2267.0,0.16,Andhra Pradesh,Ongole
BONTHA RANGA REDDY,Independent,1923.0,,1923.0,0.14,Andhra Pradesh,Ongole
BODDU KRANTHI KUMAR,Independent,1797.0,1,1798.0,0.13,Andhra Pradesh,Ongole
MOHAN GOUD J V,Independent,1442.0,5,1447.0,0.1,Andhra Pradesh,Ongole
U MADHU BABU,Independent,1006.0,2,1008.0,0.07,Andhra Pradesh,Ongole
KARATAPU RAJU,Independent,730.0,5,735.0,0.05,Andhra Pradesh,Ongole
JAGADEESH RAYAPATI,Independent,713.0,12,725.0,0.05,Andhra Pradesh,Ongole
DEVIREDDY BALANJANEYULU,Independent,710.0,6,716.0,0.05,Andhra Pradesh,Ongole
HARI PRASAD TUPAKULA,Independent,706.0,5,711.0,0.05,Andhra Pradesh,Ongole
PASAM VENKATESWARLU YADAV,Samajwadi Party,699.0,44,743.0,0.05,Andhra Pradesh,Ongole
SURYA TEJA KOTA,Pyramid Party of India,674.0,9,683.0,0.05,Andhra Pradesh,Ongole
AKUMALLA MALLIKARJUNA REDDY,Independent,575.0,,575.0,0.04,Andhra Pradesh,Ongole
VESHAPOGU GURAVABABU,Independent,457.0,4,461.0,0.03,Andhra Pradesh,Ongole
KOMMU YOHANU,Liberation Congress Party,454.0,7,461.0,0.03,Andhra Pradesh,Ongole
SESHUBABU GUDDANTI,Independent,449.0,,449.0,0.03,Andhra Pradesh,Ongole
SINGAMNENI SREEKANTH,Independent,407.0,3,410.0,0.03,Andhra Pradesh,Ongole
YARRA DASARADHARAMAIAH,Independent,394.0,,394.0,0.03,Andhra Pradesh,Ongole
KOTA VAMSI KRISHNA,Independent,365.0,,365.0,0.03,Andhra Pradesh,Ongole
K PAVAN KALYAN,Jatiya Jana Sena Party,362.0,30,392.0,0.03,Andhra Pradesh,Ongole
NOTA,None of the Above,13066.0,139,13205.0,0.93,Andhra Pradesh,Ongole
DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,718641.0,7874,726515.0,54.82,Andhra Pradesh,Rajahmundry
DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party,483172.0,4204,487376.0,36.77,Andhra Pradesh,Rajahmundry
GIDUGU RUDRARAJU,Indian National Congress,31441.0,1067,32508.0,2.45,Andhra Pradesh,Rajahmundry
GANESWARA RAO PARAMATA,Bahujan Samaj Party,20277.0,132,20409.0,1.54,Andhra Pradesh,Rajahmundry
BATTULA BALARAMAKRISHNA,Navarang Congress Party,16930.0,78,17008.0,1.28,Andhra Pradesh,Rajahmundry
SALOPANTULA RAGHAVENDRA RAO,Independent,3261.0,17,3278.0,0.25,Andhra Pradesh,Rajahmundry
DR. MEDISI RATNARAO ALIAS VINAY,Independent,3109.0,6,3115.0,0.24,Andhra Pradesh,Rajahmundry
MOHANARAO SINGULURI,Jai Bharat National Party,2818.0,15,2833.0,0.21,Andhra Pradesh,Rajahmundry
MEDA SRINIVASA RAO,Rashtriya Praja Congress (Secular),2422.0,7,2429.0,0.18,Andhra Pradesh,Rajahmundry
BOMMANABOINA VSR MURTHY,Independent,2173.0,6,2179.0,0.16,Andhra Pradesh,Rajahmundry
BHANU CHANDAR KURUVELLA,Independent,1955.0,3,1958.0,0.15,Andhra Pradesh,Rajahmundry
JALLI BALA NAVEENA,Independent,1250.0,4,1254.0,0.09,Andhra Pradesh,Rajahmundry
NOTA,None of the Above,24302.0,133,24435.0,1.84,Andhra Pradesh,Rajahmundry
P V MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,639111.0,5733,644844.0,48.38,Andhra Pradesh,Rajampet
NALLARI KIRAN KUMAR REDDY,Bharatiya Janata Party,557030.0,11743,568773.0,42.67,Andhra Pradesh,Rajampet
SHAIK BASHEED,Indian National Congress,52229.0,1071,53300.0,4.0,Andhra Pradesh,Rajampet
ABBAVARAM UGENDRA,Bahujan Samaj Party,12306.0,57,12363.0,0.93,Andhra Pradesh,Rajampet
POOLA REDDY SEKHAR,Independent,6097.0,3,6100.0,0.46,Andhra Pradesh,Rajampet
NAGARAJU JETTI,Independent,5984.0,15,5999.0,0.45,Andhra Pradesh,Rajampet
PRADEEP PENAMADU,All India Forward Bloc,5671.0,1,5672.0,0.43,Andhra Pradesh,Rajampet
CHOUDVARAM SUBBANARASAIAH,Independent,4731.0,4,4735.0,0.36,Andhra Pradesh,Rajampet
PULI SREENIVASULU,Independent,4613.0,3,4616.0,0.35,Andhra Pradesh,Rajampet
SREENIVASULU MARRIPATI,Independent,4436.0,7,4443.0,0.33,Andhra Pradesh,Rajampet
AKBAR M BASHA,Anna YSR Congress Party,2394.0,17,2411.0,0.18,Andhra Pradesh,Rajampet
SANGARAJU NAGESWARA RAJU,Independent,1523.0,12,1535.0,0.12,Andhra Pradesh,Rajampet
MADA RAJA,Jaathia Chethi Vruthula Ikya Vedika Party,1415.0,,1415.0,0.11,Andhra Pradesh,Rajampet
BATTHALA RAMANAIAH,Jai Bharat National Party,1360.0,6,1366.0,0.1,Andhra Pradesh,Rajampet
DODDAPANENI RAJA NAIDU,Independent,1315.0,3,1318.0,0.1,Andhra Pradesh,Rajampet
MAYANA MOHAMMED SALMAN KHAN,Liberation Congress Party,1069.0,2,1071.0,0.08,Andhra Pradesh,Rajampet
KASTURI OBAIAH NAIDU,Independent,885.0,2,887.0,0.07,Andhra Pradesh,Rajampet
ASADI VENKATADRI,Independent,689.0,2,691.0,0.05,Andhra Pradesh,Rajampet
NOTA,None of the Above,11324.0,76,11400.0,0.86,Andhra Pradesh,Rajampet
KINJARAPU RAMMOHAN NAIDU,Telugu Desam,734501.0,19827,754328.0,61.05,Andhra Pradesh,Srikakulam
TILAK PERADA,Yuvajana Sramika Rythu Congress Party,420394.0,6033,426427.0,34.51,Andhra Pradesh,Srikakulam
PEDADA PARAMESWARA RAO,Indian National Congress,6724.0,448,7172.0,0.58,Andhra Pradesh,Srikakulam
SANAPALA SRAVAN KUMAR,Independent,5950.0,8,5958.0,0.48,Andhra Pradesh,Srikakulam
NAIDUGARI RAJASEKHAR,Bahujan Samaj Party,4661.0,81,4742.0,0.38,Andhra Pradesh,Srikakulam
VABA YOGESWARA RAO,Independent,3472.0,126,3598.0,0.29,Andhra Pradesh,Srikakulam
BETHA VIVEKANANDA MAHARAJ,Independent,2523.0,13,2536.0,0.21,Andhra Pradesh,Srikakulam
YEDDU LAKSHMINARAYANA,Independent,1598.0,7,1605.0,0.13,Andhra Pradesh,Srikakulam
BORUBADRA CHANDRAKALA,Bharatha Chaitanya Yuvajana Party,1315.0,42,1357.0,0.11,Andhra Pradesh,Srikakulam
IPPILI SEETHARAJU,Jai Bharat National Party,1080.0,50,1130.0,0.09,Andhra Pradesh,Srikakulam
KAYA DURGARAO,Navarang Congress Party,811.0,7,818.0,0.07,Andhra Pradesh,Srikakulam
CHELLURI DANIYAL,Independent,796.0,20,816.0,0.07,Andhra Pradesh,Srikakulam
BOMMALI TIRUPATI RAO,Pyramid Party of India,589.0,5,594.0,0.05,Andhra Pradesh,Srikakulam
NOTA,None of the Above,24498.0,107,24605.0,1.99,Andhra Pradesh,Srikakulam
GURUMOORTHY MADDILA,Yuvajana Sramika Rythu Congress Party,626702.0,5526,632228.0,45.73,Andhra Pradesh,Thirupathi(SC)
VARA PRASAD RAO VELAGAPALLI,Bharatiya Janata Party,608494.0,9165,617659.0,44.67,Andhra Pradesh,Thirupathi(SC)
CHINTA MOHAN,Indian National Congress,63790.0,1733,65523.0,4.74,Andhra Pradesh,Thirupathi(SC)
PENUMURU. GURAPPA,Bahujan Samaj Party,10300.0,206,10506.0,0.76,Andhra Pradesh,Thirupathi(SC)
KATTAMANCHI. PRABHAKAR,Independent,5796.0,6,5802.0,0.42,Andhra Pradesh,Thirupathi(SC)
M UMADEVI,Janata Congress,5387.0,38,5425.0,0.39,Andhra Pradesh,Thirupathi(SC)
ALLAM.RAJA,Independent,4948.0,22,4970.0,0.36,Andhra Pradesh,Thirupathi(SC)
VIJAY KUMAR G.SRKR,Liberation Congress Party,4108.0,194,4302.0,0.31,Andhra Pradesh,Thirupathi(SC)
ANJAIAH.P,Republican Party of India (A),3657.0,9,3666.0,0.27,Andhra Pradesh,Thirupathi(SC)
V.C. NAVEEN GUPTA,Independent,1723.0,8,1731.0,0.13,Andhra Pradesh,Thirupathi(SC)
A. VARAPRASAD,Jatiya Jana Sena Party,1668.0,30,1698.0,0.12,Andhra Pradesh,Thirupathi(SC)
SYAMDHAN KURAPATI,Aihra National Party,1567.0,1,1568.0,0.11,Andhra Pradesh,Thirupathi(SC)
C. PUNYAMURTHY,United Republican Party of India,1511.0,4,1515.0,0.11,Andhra Pradesh,Thirupathi(SC)
KARRA SIVA,Pyramid Party of India,1501.0,9,1510.0,0.11,Andhra Pradesh,Thirupathi(SC)
VELURU. THEJOVATHI,Samajwadi Party,1362.0,27,1389.0,0.1,Andhra Pradesh,Thirupathi(SC)
C. DAVID,Indian Believers Party (IBP),1237.0,2,1239.0,0.09,Andhra Pradesh,Thirupathi(SC)
K. JEEVARATHNAM,Independent,1203.0,1,1204.0,0.09,Andhra Pradesh,Thirupathi(SC)
DASARI. GOWTHAM,Independent,1077.0,10,1087.0,0.08,Andhra Pradesh,Thirupathi(SC)
VIJAYA KUMAR.G,Independent,797.0,4,801.0,0.06,Andhra Pradesh,Thirupathi(SC)
A. MADHU,Jai Hindustan Party,711.0,,711.0,0.05,Andhra Pradesh,Thirupathi(SC)
B. BHARANI BAS,Ambedkar National Congress,688.0,,688.0,0.05,Andhra Pradesh,Thirupathi(SC)
Y. MAHESH,Independent,615.0,7,622.0,0.04,Andhra Pradesh,Thirupathi(SC)
PRASAD PATIBANDLA,Independent,607.0,1,608.0,0.04,Andhra Pradesh,Thirupathi(SC)
NOTA,None of the Above,15909.0,209,16118.0,1.17,Andhra Pradesh,Thirupathi(SC)
KESINENI SIVANATH (CHINNI),Telugu Desam,784722.0,9432,794154.0,58.21,Andhra Pradesh,Vijayawada
KESINENI SRINIVAS (NANI),Yuvajana Sramika Rythu Congress Party,505637.0,6432,512069.0,37.53,Andhra Pradesh,Vijayawada
BHARGAV VALLURU,Indian National Congress,23498.0,608,24106.0,1.77,Andhra Pradesh,Vijayawada
KRISHNA KISHORE YANAMANDRA,Navataram Party,7710.0,168,7878.0,0.58,Andhra Pradesh,Vijayawada
VENKATA ASHOK PAPPURI,Independent,6672.0,,6672.0,0.49,Andhra Pradesh,Vijayawada
DEVARAPALLI MALLIKARJUNA RAO (MAHESH),Independent,3199.0,,3199.0,0.23,Andhra Pradesh,Vijayawada
MEKA VENKATESWARA RAO,Bahujan Samaj Party,2184.0,49,2233.0,0.16,Andhra Pradesh,Vijayawada
ANIL KUMAR MADDINENI,Independent,1240.0,,1240.0,0.09,Andhra Pradesh,Vijayawada
BARRE SREENIVASARAO (JAI BHEEM SRINIVAS),Telugu Rajadhikara Samiti Party,609.0,6,615.0,0.05,Andhra Pradesh,Vijayawada
SYED KHAMURUNNISA,Navarang Congress Party,600.0,1,601.0,0.04,Andhra Pradesh,Vijayawada
CHAGANTIPATI GANGADHAR GANDHI,Pyramid Party of India,486.0,3,489.0,0.04,Andhra Pradesh,Vijayawada
DATLA LURTHU MERI,Jaibhim Rao Bharat Party,409.0,8,417.0,0.03,Andhra Pradesh,Vijayawada
PERAM SIVA NAGESWARA RAO,Republican Party of India (Athawale),365.0,3,368.0,0.03,Andhra Pradesh,Vijayawada
DEVARASETTY RAVEENDRA BABU,Andhra Rastra Praja Samithi,328.0,3,331.0,0.02,Andhra Pradesh,Vijayawada
GUJJULA LALITHA,Socialist Unity Centre Of India (COMMUNIST),323.0,4,327.0,0.02,Andhra Pradesh,Vijayawada
N DASARADHA RAMI REDDY,All India Jaihind Party,268.0,1,269.0,0.02,Andhra Pradesh,Vijayawada
CHINTHALACHERUVU HEMALATHA,Jai Maha Bharath Party,239.0,5,244.0,0.02,Andhra Pradesh,Vijayawada
NOTA,None of the Above,9038.0,155,9193.0,0.67,Andhra Pradesh,Vijayawada
SRIBHARAT MATHUKUMILI,Telugu Desam,893884.0,13583,907467.0,65.42,Andhra Pradesh,Visakhapatnam
JHANSI LAKSHMI. BOTCHA.,Yuvajana Sramika Rythu Congress Party,397821.0,5399,403220.0,29.07,Andhra Pradesh,Visakhapatnam
P. SATYA REDDY,Indian National Congress,29430.0,837,30267.0,2.18,Andhra Pradesh,Visakhapatnam
K.A. PAUL,Praja Shanthi Party,7529.0,167,7696.0,0.55,Andhra Pradesh,Visakhapatnam
PEDAPENKI SIVA PRASADA RAO,Bahujan Samaj Party,6006.0,85,6091.0,0.44,Andhra Pradesh,Visakhapatnam
BIKKAVOLU. CHALAMAJI,Navarang Congress Party,4883.0,1,4884.0,0.35,Andhra Pradesh,Visakhapatnam
V.N. SATYA NARAYANA,Rashtriya Praja Congress (Secular),2534.0,3,2537.0,0.18,Andhra Pradesh,Visakhapatnam
ARUNA SRI MURALA,Independent,1991.0,2,1993.0,0.14,Andhra Pradesh,Visakhapatnam
VASUPILLI SURESH,Independent,1931.0,2,1933.0,0.14,Andhra Pradesh,Visakhapatnam
SONDI KRISHNA.,Independent,1811.0,7,1818.0,0.13,Andhra Pradesh,Visakhapatnam
ANDUKURI VIJAYA BHASKAR,India Praja Bandhu Party,1098.0,11,1109.0,0.08,Andhra Pradesh,Visakhapatnam
DR. GANAPATHI KONGARAPU.,Republican Party of India (A),944.0,6,950.0,0.07,Andhra Pradesh,Visakhapatnam
BANNA. RAMESH,Dalita Bahujana Party,941.0,7,948.0,0.07,Andhra Pradesh,Visakhapatnam
P. SATYA VANI,Pyramid Party of India,875.0,7,882.0,0.06,Andhra Pradesh,Visakhapatnam
DURGA PRASAD. GUNTU,Bhartiya Rashtriya Dal,760.0,7,767.0,0.06,Andhra Pradesh,Visakhapatnam
CHAPPIDI RAMU,Independent,756.0,1,757.0,0.05,Andhra Pradesh,Visakhapatnam
M.G.M. KHAN,Independent,738.0,4,742.0,0.05,Andhra Pradesh,Visakhapatnam
SHANKAR DEVARA YADAV,Independent,656.0,5,661.0,0.05,Andhra Pradesh,Visakhapatnam
VENU MADHAV KARRI,Independent,646.0,1,647.0,0.05,Andhra Pradesh,Visakhapatnam
DR. ACHUTHA BALAJI YADAV (MURAPALA),Bharatha Chaitanya Yuvajana Party,628.0,10,638.0,0.05,Andhra Pradesh,Visakhapatnam
THOTA VENKATA SAI MUKUND,Praja Prasthanam Party,628.0,5,633.0,0.05,Andhra Pradesh,Visakhapatnam
PIDIDHI APPARAO,Independent,576.0,4,580.0,0.04,Andhra Pradesh,Visakhapatnam
G.A.N. ANAND,Independent,543.0,,543.0,0.04,Andhra Pradesh,Visakhapatnam
VADDI. HARI GANESH,Independent,518.0,2,520.0,0.04,Andhra Pradesh,Visakhapatnam
JANARDHAN PONNADA.,Independent,499.0,1,500.0,0.04,Andhra Pradesh,Visakhapatnam
GANAPATHI. JAGADEESWARA RAO (JAGADEESH),Jai Maha Bharath Party,494.0,6,500.0,0.04,Andhra Pradesh,Visakhapatnam
JALADI VIJAYA KUMARI,Samajwadi Party,463.0,3,466.0,0.03,Andhra Pradesh,Visakhapatnam
CHINTADA SURYAM,Naba Bharata Nirmana Seva Party,443.0,5,448.0,0.03,Andhra Pradesh,Visakhapatnam
GANDIKOTA RAJESH,Navataram Party,392.0,1,393.0,0.03,Andhra Pradesh,Visakhapatnam
KOLLI NAGA RAJU,Independent,322.0,7,329.0,0.02,Andhra Pradesh,Visakhapatnam
METTA RAMA RAO,Independent,320.0,6,326.0,0.02,Andhra Pradesh,Visakhapatnam
LAGUDU. GOVINDA RAO,Independent,293.0,1,294.0,0.02,Andhra Pradesh,Visakhapatnam
MALLA SRAVANI,Independent,271.0,2,273.0,0.02,Andhra Pradesh,Visakhapatnam
NOTA,None of the Above,5171.0,142,5313.0,0.38,Andhra Pradesh,Visakhapatnam
APPALANAIDU KALISETTI,Telugu Desam,729284.0,13829,743113.0,57.2,Andhra Pradesh,Vizianagaram
BELLANA CHANDRASEKHAR,Yuvajana Sramika Rythu Congress Party,487691.0,6071,493762.0,38.0,Andhra Pradesh,Vizianagaram
BOBBILI SRINU,Indian National Congress,10270.0,353,10623.0,0.82,Andhra Pradesh,Vizianagaram
PEERUBANDI PRAKASH RAO,Bahujan Samaj Party,7985.0,53,8038.0,0.62,Andhra Pradesh,Vizianagaram
VELURI VENKATA TRINADHARAO,Independent,4146.0,6,4152.0,0.32,Andhra Pradesh,Vizianagaram
ALLU SRIRAMULU,Independent,3396.0,5,3401.0,0.26,Andhra Pradesh,Vizianagaram
SIYYADULA YELLA RAO,Independent,3105.0,2,3107.0,0.24,Andhra Pradesh,Vizianagaram
SRINIVASA RAO SAMBHANA,Yuga Thulasi Party,1758.0,3,1761.0,0.14,Andhra Pradesh,Vizianagaram
MARISERLA KRISHNAMURTHY NAIDU,Independent,1617.0,12,1629.0,0.13,Andhra Pradesh,Vizianagaram
VANGAPANDU MAHESWARA RAO,Naba Bharata Nirmana Seva Party,1544.0,9,1553.0,0.12,Andhra Pradesh,Vizianagaram
