Candidate,Party,Total Votes,Postal Votes,EVM Votes,% of Votes,State,Constituency
RAO RAJENDRA SINGH,Bharatiya Janata Party,617877.0,9688,608189.0,48.96,Rajasthan,JAIPUR RURAL
LUMBARAM,Bharatiya Janata Party,796783.0,3078,793705.0,54.91,Rajasthan,JALORE
JUGAL KISHORE,Bharatiya Janata Party,687588.0,10017,677571.0,52.8,Jammu and Kashmir,JAMMU
KAMLESH JANGDE,Bharatiya Janata Party,678199.0,2459,675740.0,48.71,Chhattisgarh,JANJGIR-CHAMPA
DUSHYANT SINGH,Bharatiya Janata Party,865376.0,3526,861850.0,60.88,Rajasthan,JHALAWAR-BARAN
BRIJENDRA SINGH OLA,Indian National Congress,553168.0,11965,541203.0,49.44,Rajasthan,JHUNJHUNU
GAJENDRA SINGH SHEKHAWAT,Bharatiya Janata Party,730056.0,7078,722978.0,52.76,Rajasthan,JODHPUR
SAYANI GHOSH,All India Trinamool Congress,717899.0,3850,714049.0,45.83,West Bengal,Jadavpur
BIBHU PRASAD TARAI,Bharatiya Janata Party,589093.0,3421,585672.0,45.8,Odisha,Jagatsinghpur
SURENDRA PRASAD YADAV,Rashtriya Janata Dal,443035.0,2683,440352.0,47.88,Bihar,Jahanabad
RABINDRA NARAYAN BEHERA,Bharatiya Janata Party,534239.0,5280,528959.0,46.01,Odisha,Jajpur
